EVICTED,PK_ID,GENDER,OWN_CAR,TENANT_INCOME,COUNT_CHILDREN,RENT_AMT,SPOUSAL_STATUS,AGE_YEARS,CELL_PHONE,WORK_PHONE,HOME_PHONE,COUNT_OCCUPANTS,APT_CLASS,STATE_WORK_ADDRESS_MISMATCH,CITY_WORK_ADDRESS_MISMATCH,CREDIT_PULLS,LATE_PAYMENTS,DAY_APP_SUBMIT,HOUR_APP_SUBMIT,SAFERENT_SCORE,SAFERENT_CONDITIONAL
,439687,M,N,121500,0,1547,Y,30.7,1,1,1,,A,1,1,2,0,TUESDAY,11,601,0
,439688,M,Y,135000,2,1876,Y,35.2,1,1,0,4,B,0,0,1,0,MONDAY,15,503,0
,439690,F,N,67500,0,1599,Y,50.3,1,1,0,2,B,0,0,6,0,THURSDAY,5,490,0
,439691,F,N,108000,1,1292,Y,29.3,1,1,1,,A,1,1,,0,SATURDAY,15,546,0
,439694,F,N,75000,1,1741,Y,27.8,1,1,0,,A,1,1,0,10,TUESDAY,14,628,0
,439697,M,N,157500,1,1986,Y,44.8,1,1,0,3,B,0,0,,0,FRIDAY,7,633,0
,439699,F,N,292500,0,1495,Y,61,1,0,0,,A,0,0,,1,SATURDAY,15,744,0
,439701,F,Y,202500,0,1385,Y,34.8,1,1,0,2,A,0,0,1,1,TUESDAY,17,595,0
,439706,F,N,225000,0,1809,Y,24,1,1,0,,A,0,1,5,3,TUESDAY,18,439,0
,439709,M,N,261000,1,1434,Y,28.8,1,1,1,3,A,0,0,1,0,WEDNESDAY,13,728,0
,439714,F,Y,135000,2,1953,Y,27.7,1,1,0,,B,0,1,0,3,MONDAY,12,564,0
,439715,M,N,36000,0,1296,Y,49.9,1,1,0,2,B,0,1,,9,FRIDAY,8,285,1
,439717,M,Y,180000,0,1422,Y,46.5,1,1,1,,A,0,0,2,0,THURSDAY,10,491,0
,439723,F,N,135000,0,1441,Y,52.3,1,1,0,2,A,0,0,,0,TUESDAY,7,644,0
,439728,F,N,90000,0,1487,N,43.1,1,1,0,,A,0,0,1,0,FRIDAY,12,402,0
,439730,F,N,171000,0,1453,N,67.1,1,0,0,1,B,0,0,6,1,WEDNESDAY,6,430,0
,439732,M,Y,112500,0,1619,Y,56.2,1,1,1,,A,0,0,0,0,WEDNESDAY,13,461,0
,439738,M,N,382500,0,2729,Y,59.5,1,1,0,,A,0,0,3,0,SUNDAY,13,711,0
,439739,F,N,120000,0,1574,Y,45.8,1,1,1,,A,0,0,3,6,MONDAY,10,486,0
,439742,F,N,90000,1,1853.13,Y,30.2,1,1,0,3,A,1,1,,1,MONDAY,10,651,0
,439750,M,N,36000,1,1420,Y,40.7,1,1,1,3,A,0,0,0,0,TUESDAY,11,265,1
,439771,F,N,90000,0,549,N,57.3,1,1,1,,B,0,0,2,0,THURSDAY,9,514,0
,439773,F,N,225000,2,2498,Y,37.1,1,1,0,,B,0,0,2,0,THURSDAY,8,749,0
,439777,F,N,202500,0,1349,Y,56.8,1,0,0,,A,0,0,6,0,TUESDAY,11,656,0
,439782,F,Y,450000,0,2075,N,57.1,1,1,0,1,A,0,1,3,0,MONDAY,13,689,0
,439785,F,N,144000,0,1588,Y,60,1,1,1,,B,0,0,3,1,TUESDAY,8,765,0
,439790,F,N,180000,1,1889,Y,42.9,1,1,1,,A,0,0,0,0,TUESDAY,9,626,0
,439791,F,Y,112500,0,1446,Y,49.9,1,1,0,,A,0,0,,0,SATURDAY,15,694,0
,439792,F,Y,202500,1,2081.6,N,44.1,1,1,0,2,B,1,1,1,0,FRIDAY,12,688,0
,439793,F,N,135000,0,2010,N,62.4,1,0,0,,A,0,0,7,0,SATURDAY,8,365,0
,439799,F,Y,180000,0,1437,Y,27.6,1,1,0,,A,0,1,0,0,MONDAY,10,720,0
,439802,F,N,135000,0,1425,N,22.6,1,1,0,,A,0,0,,2,SUNDAY,15,618,0
,439806,M,N,225000,0,1633,Y,51.4,1,1,1,,A,1,1,0,0,FRIDAY,12,677,0
,439807,F,N,76500,0,1440,Y,59.1,1,0,0,,A,0,0,4,0,MONDAY,14,395,0
,439812,F,Y,90000,0,1590,Y,53.9,1,1,0,,A,0,1,1,0,WEDNESDAY,12,697,0
,439815,F,N,90000,1,1294,N,42,1,1,0,,A,0,1,4,0,TUESDAY,11,551,0
,439817,F,N,225000,0,1718,N,54.3,1,1,0,,A,0,0,4,0,WEDNESDAY,13,724,0
,439819,M,Y,211500,0,1797,N,24.9,1,1,0,1,A,0,0,1,0,SUNDAY,16,525,0
,439825,F,N,180000,0,1478,N,54.1,1,1,0,,A,0,0,1,0,TUESDAY,13,670,0
,439827,F,N,405000,1,1917,Y,54.5,1,1,0,,A,0,1,9,0,THURSDAY,10,723,0
,439844,F,N,135000,0,1952,Y,50.2,1,1,0,,A,0,0,5,0,WEDNESDAY,16,676,0
,439848,M,N,180000,0,2015,Y,37.6,1,1,0,2,B,0,1,0,7,THURSDAY,13,453,0
,439849,F,N,157500,0,1439,N,68.5,1,0,0,,B,0,0,5,0,MONDAY,6,508,0
,439850,F,N,90000,0,1335,N,60.9,1,0,0,1,A,0,0,2,0,SATURDAY,10,379,1
,439851,F,N,135000,0,1570,N,24.1,1,1,1,,A,0,1,3,4,SATURDAY,19,639,0
,439861,M,N,229500,0,1622,Y,31.2,1,1,0,2,B,0,0,2,0,SUNDAY,15,796,0
,439862,M,Y,120000,1,1679,Y,24.8,1,1,1,3,A,0,0,0,11,WEDNESDAY,9,341,1
,439866,M,N,157500,1,1545,Y,43.2,1,1,1,,A,0,0,1,8,SATURDAY,8,674,0
,439868,M,N,166500,0,1626,Y,52.3,1,1,0,,A,1,0,0,0,MONDAY,12,712,0
,439877,F,Y,135000,2,1498.2,Y,33.6,1,1,0,,A,0,0,5,0,FRIDAY,9,442,0
,439885,F,N,99000,0,1321,N,57.6,1,0,0,1,A,0,0,5,1,WEDNESDAY,16,546,0
,439888,F,Y,157500,0,1684,N,49.4,1,1,0,,A,0,0,2,0,MONDAY,11,669,0
,439892,M,Y,270000,0,1496,Y,30.3,1,1,0,,A,0,0,3,0,FRIDAY,11,501,0
,439894,F,N,247500,0,1403,Y,66.1,1,0,0,2,A,0,0,2,4,THURSDAY,17,629,0
,439895,F,N,103500,2,1796,Y,37.2,1,1,0,,A,0,0,1,0,WEDNESDAY,15,701,0
,439897,F,Y,90000,2,1603,Y,30.9,1,1,1,4,A,0,1,0,0,THURSDAY,9,664,0
,439898,M,N,180000,0,2854,Y,57.3,1,1,0,2,A,0,0,,0,TUESDAY,13,592,0
,439903,M,N,144000,0,1765,Y,44.5,1,1,1,2,A,0,1,2,3,FRIDAY,9,359,0
,439908,F,N,81000,0,1840,Y,55.6,1,0,0,,A,0,0,1,3,WEDNESDAY,10,596,0
,439910,F,Y,157500,0,1556,N,68,1,1,0,1,A,0,0,3,2,THURSDAY,13,640,0
,439913,F,Y,112500,0,1397,N,35.3,1,1,0,,A,0,0,1,12,THURSDAY,14,459,0
,439916,F,N,225000,0,1365,Y,63,1,0,0,2,A,0,0,0,0,THURSDAY,9,750,0
,439918,F,Y,157500,0,1543,Y,58.8,1,0,0,2,B,0,0,3,5,MONDAY,15,767,0
,439923,M,N,180000,0,1856,N,29.1,1,1,0,1,A,0,0,4,0,MONDAY,15,652,0
,439929,F,Y,49500,0,538,Y,62.7,1,0,0,2,B,0,0,3,4,WEDNESDAY,7,654,0
,439931,F,N,225000,0,1536,Y,61.2,1,0,0,,A,0,0,3,1,FRIDAY,10,326,1
,439932,F,N,202500,0,959,Y,61,1,0,0,,A,0,0,,2,WEDNESDAY,16,754,0
,439935,F,N,261000,0,1749,Y,46.6,1,1,0,,A,0,0,2,3,SATURDAY,12,679,0
,439941,F,Y,346500,0,1996,Y,48.4,1,1,0,,B,0,0,1,8,WEDNESDAY,15,418,0
,439942,F,N,225000,0,2777,Y,53.4,1,0,0,,A,0,0,3,0,WEDNESDAY,11,658,0
,439944,M,N,157500,0,1799,N,22.4,1,1,0,1,A,0,0,,0,THURSDAY,9,461,0
,439948,F,N,67500,0,2004,Y,49.8,1,1,0,,B,0,0,3,0,WEDNESDAY,9,553,0
,439957,F,N,157500,0,1697,Y,55.5,1,1,0,2,A,0,1,0,0,FRIDAY,15,572,0
,439962,F,N,58500,0,1264,Y,48.6,1,1,1,,A,0,0,0,1,FRIDAY,13,608,0
,439966,F,N,72000,0,1409,Y,42.5,1,1,1,,A,0,0,1,1,TUESDAY,8,532,0
,439976,F,N,135000,0,1616,Y,53.3,1,0,0,,A,0,0,0,0,SUNDAY,5,390,0
,439978,M,Y,270000,0,2152,Y,29.7,1,1,0,2,A,0,1,1,1,MONDAY,11,715,0
,439979,M,Y,126000,0,1717,Y,48.7,1,1,0,2,A,0,0,,0,WEDNESDAY,14,701,0
,439987,M,Y,243000,0,1706,N,24.1,1,1,0,,A,0,0,3,0,FRIDAY,16,710,0
,439995,M,N,324000,0,1539,Y,55,1,0,0,,A,0,0,2,0,MONDAY,16,279,1
,439997,F,N,157500,0,1734,Y,62.8,1,0,0,,A,0,0,1,0,TUESDAY,12,495,0
,439999,M,N,225000,0,1740,N,32.8,1,1,0,,A,0,1,4,2,SATURDAY,16,688,0
,440001,M,Y,171000,0,1510,N,58.2,1,1,0,,A,0,0,4,0,MONDAY,13,436,0
,440005,M,N,216000,0,1876,Y,39.3,1,1,0,,A,0,0,3,7,FRIDAY,9,610,0
,440007,M,Y,202500,0,1768,N,51,1,1,0,,B,0,0,5,0,MONDAY,11,547,0
,440009,F,N,112500,0,1414,N,66.3,1,0,0,1,A,0,0,1,0,TUESDAY,9,596,0
,440010,F,N,112500,0,1258,Y,47.8,1,1,1,2,A,0,0,3,0,MONDAY,11,484,0
,440014,F,N,135000,0,1747,Y,53.4,1,1,0,,A,0,0,3,2,TUESDAY,8,373,1
,440015,F,N,225000,0,1204,Y,41.3,1,1,0,2,B,0,0,3,0,THURSDAY,9,609,0
,440021,F,N,90000,0,1619,Y,51.5,1,1,1,2,A,0,0,0,0,WEDNESDAY,14,692,0
,440022,M,Y,118350,2,1894,Y,35.2,1,1,1,,A,0,1,2,5,WEDNESDAY,10,583,0
,440024,F,Y,139500,1,1696,Y,38.2,1,1,0,3,A,0,0,1,0,MONDAY,16,526,0
,440026,F,N,76500,0,1259,N,44.8,1,1,0,,A,0,1,0,1,FRIDAY,10,605,0
,440033,F,N,157500,0,1976,Y,46.3,1,1,0,2,A,0,0,,0,FRIDAY,11,725,0
,440037,M,Y,148500,2,1839,Y,45,1,1,1,,A,0,0,2,4,WEDNESDAY,11,796,0
,440039,F,N,135000,0,1447,Y,33.1,1,1,0,2,A,0,0,5,0,THURSDAY,14,557,0
,440043,F,Y,72000,0,1561,Y,55.5,1,1,1,2,B,0,0,1,7,WEDNESDAY,8,455,0
,440044,M,N,135000,0,1543,Y,40.7,1,1,0,2,A,0,0,4,0,FRIDAY,14,697,0
,440045,F,Y,27000,2,549,Y,38.6,1,1,0,,B,0,0,4,7,FRIDAY,11,440,0
,440047,F,Y,99000,0,1529,N,56,1,0,0,1,B,0,0,4,0,TUESDAY,10,672,0
,440049,M,N,202500,0,1611.6,Y,46.1,1,1,0,,A,0,1,4,1,SATURDAY,8,613,0
,440061,M,Y,135000,0,1472,Y,39.1,1,1,0,,A,0,0,2,0,TUESDAY,13,737,0
,440062,M,N,157500,1,1699,Y,37.5,1,1,0,,A,0,0,3,2,MONDAY,14,550,0
,440063,M,N,135000,0,1454,N,29.6,1,1,0,1,B,0,0,1,0,TUESDAY,9,441,0
,440064,F,N,202500,1,1497,Y,44.2,1,1,0,3,B,0,0,6,0,TUESDAY,6,435,0
,440067,F,Y,90000,3,1818,Y,33.8,1,1,1,,B,0,1,3,5,SATURDAY,7,375,1
,440068,F,Y,135000,0,1700,Y,45,1,1,0,2,A,0,1,3,0,TUESDAY,18,386,1
,440069,F,N,112500,0,1466.7,N,64.5,1,1,1,,A,0,0,0,0,THURSDAY,10,422,0
,440077,M,Y,120000,1,1735,Y,31.9,1,1,0,3,A,0,1,14,7,FRIDAY,16,418,0
,440078,M,N,108000,3,1729,N,50.7,1,1,0,,A,1,0,,10,TUESDAY,9,732,0
,440090,F,Y,126000,0,1593,Y,49.3,1,1,0,,A,0,0,3,12,TUESDAY,15,613,0
,440093,F,N,157500,1,1855,N,44.6,1,1,0,,A,0,0,4,0,WEDNESDAY,11,636,0
,440096,F,Y,225000,0,1487,N,45.8,1,1,0,,A,0,0,2,0,TUESDAY,10,647,0
,440097,F,N,90000,0,1503.93,Y,37.2,1,1,1,2,B,0,0,2,7,FRIDAY,14,578,0
,440105,M,Y,225000,2,1795,Y,33.6,1,1,0,,B,0,0,2,2,SATURDAY,8,426,0
,440111,M,Y,202500,1,1322,Y,31,1,1,1,3,B,0,0,0,0,TUESDAY,14,548,0
,440115,F,N,135000,0,1759,Y,48.7,1,1,1,,A,0,1,1,0,MONDAY,9,694,0
,440118,F,Y,63900,0,1294,Y,62.8,1,0,0,,A,0,0,0,0,WEDNESDAY,9,340,1
,440120,M,Y,225000,1,1876,Y,31.3,1,1,0,3,A,0,0,4,0,SUNDAY,16,655,0
,440121,M,Y,405000,1,2044,Y,39.2,1,1,1,,A,0,0,2,1,FRIDAY,12,695,0
,440122,F,Y,225000,0,2110,Y,39.5,1,1,0,,A,0,0,2,0,MONDAY,17,726,0
,440141,F,N,148500,0,1795,Y,60.6,1,0,0,2,A,0,0,1,0,WEDNESDAY,8,612,0
,440143,M,Y,382500,0,1876,Y,56.9,1,1,0,2,A,0,0,5,1,FRIDAY,15,729,0
,440144,F,Y,36000,1,1374,Y,41,1,1,1,,A,0,0,,9,TUESDAY,12,529,0
,440145,F,Y,45000,2,1416,Y,38,1,1,0,4,A,0,0,0,12,SUNDAY,7,288,1
,440148,F,N,33165,0,1985,Y,65.1,1,0,0,,A,0,0,2,0,FRIDAY,8,664,0
,440151,M,Y,180000,0,1545,N,29.2,1,1,0,1,A,0,1,,0,FRIDAY,13,465,0
,440153,M,Y,360000,0,1804,Y,41.4,1,1,0,2,A,0,0,5,0,THURSDAY,15,680,0
,440160,F,Y,157500,0,1538,Y,43.2,1,1,1,,A,0,0,2,2,THURSDAY,16,651,0
,440166,F,Y,112500,2,1716,Y,27.3,1,1,1,4,A,0,1,2,0,THURSDAY,10,670,0
,440167,F,N,103500,1,1478,N,44.4,1,1,0,2,A,0,0,1,3,MONDAY,12,404,0
,440170,F,N,120000,0,1300,N,23.1,1,1,0,,A,0,1,2,10,SATURDAY,13,373,1
,440172,F,N,270000,0,2037,Y,57.9,1,1,0,2,A,0,0,2,0,FRIDAY,12,636,0
,440174,F,N,54000,0,1353,Y,53.3,1,0,0,2,A,0,0,1,1,THURSDAY,11,497,0
,440175,M,Y,157500,1,1420,Y,27.5,1,1,0,,A,0,0,1,1,TUESDAY,15,693,0
,440183,F,Y,99000,0,1784,Y,41.9,1,1,1,2,A,0,0,0,8,SUNDAY,13,690,0
,440184,F,N,202500,2,1518,Y,52.4,1,1,0,4,A,0,0,2,0,TUESDAY,13,561,0
,440186,F,N,148500,0,1478,Y,58.5,1,0,0,,A,0,0,5,2,SATURDAY,10,720,0
,440187,F,N,157500,1,1653,Y,45.3,1,1,1,3,A,0,0,3,0,TUESDAY,9,643,0
,440188,M,N,135000,1,1324,Y,32.3,1,1,0,3,B,0,0,3,0,SUNDAY,10,348,1
,440189,F,Y,540000,0,3827.5,Y,48.4,1,1,0,,A,1,0,0,3,WEDNESDAY,14,693,0
,440198,M,Y,135000,1,2098,Y,38.8,1,1,0,3,A,0,1,1,0,WEDNESDAY,12,660,0
,440199,M,N,180000,0,1378,Y,38.9,1,1,0,,B,0,0,2,1,SATURDAY,15,658,0
,440202,M,N,180000,0,1598,N,24.4,1,1,1,1,A,0,0,,0,WEDNESDAY,15,642,0
,440205,M,N,112500,0,1496,N,53.5,1,1,0,1,A,0,1,3,0,TUESDAY,11,666,0
,440206,F,N,117000,2,1448,Y,33.3,1,1,0,,A,0,0,5,0,MONDAY,16,486,0
,440213,F,N,90000,0,1370,Y,55.8,1,0,0,2,A,0,0,0,0,WEDNESDAY,11,681,0
,440214,M,Y,210000,1,1844,N,35.5,1,1,0,,A,0,0,,5,FRIDAY,9,668,0
,440220,F,N,202500,2,1853.8,Y,37.7,1,1,1,4,A,0,0,0,0,TUESDAY,11,701,0
,440221,F,N,202500,0,2062,N,45.2,1,1,0,,A,0,1,,1,TUESDAY,15,621,0
,440231,M,Y,67500,0,1619,N,50.3,1,1,0,1,A,0,0,,1,SUNDAY,15,711,0
,440232,F,Y,675000,0,1729,Y,59.7,1,0,0,,B,0,0,,0,THURSDAY,11,758,0
,440233,F,N,58500,0,1492,Y,65.1,1,0,0,2,A,0,0,0,0,MONDAY,10,570,0
,440235,M,N,130500,0,1415,Y,60,1,0,0,,A,0,0,4,0,FRIDAY,16,344,1
,440241,F,N,135000,0,1434,Y,40.1,1,1,1,,B,0,0,2,0,WEDNESDAY,12,576,0
,440247,M,N,202500,0,1526.9,Y,47.3,1,1,0,2,A,0,1,5,0,THURSDAY,10,362,1
,440250,F,N,135000,0,1986,N,48,1,1,0,,A,0,0,,0,SATURDAY,14,597,0
,440253,F,Y,90000,2,1738,Y,33,1,1,0,4,A,0,0,1,0,WEDNESDAY,11,667,0
,440255,M,N,67500,0,1575,Y,51.2,1,1,1,2,A,0,0,3,1,WEDNESDAY,7,443,0
,440257,F,Y,90000,0,1817,Y,59.8,1,0,0,,A,0,0,1,0,TUESDAY,9,383,0
,440271,M,N,112500,0,1417,Y,39,1,1,1,,A,0,1,2,0,WEDNESDAY,15,694,0
,440272,F,N,135000,3,1576,Y,27.3,1,1,0,,A,0,1,1,0,WEDNESDAY,7,503,0
,440274,F,N,126000,0,1876,Y,63.9,1,0,0,2,A,0,0,6,0,TUESDAY,9,430,0
,440279,F,N,135000,0,1688,N,59.5,1,0,0,1,A,0,0,2,2,MONDAY,15,421,0
,440280,M,N,315000,0,1673,Y,29.1,1,1,0,2,A,0,0,2,0,SATURDAY,10,525,0
,440282,M,Y,180000,0,2183,N,56.8,1,1,0,1,A,0,0,1,5,THURSDAY,6,397,0
,440284,F,N,180000,0,544,N,38.7,1,1,1,,A,0,0,5,0,WEDNESDAY,11,551,0
,440286,F,N,202500,0,1344,N,65,1,0,0,,B,0,0,4,0,FRIDAY,14,531,0
,440287,F,N,90000,0,1302,N,55.8,1,0,0,,A,0,0,2,0,SATURDAY,10,380,0
,440289,F,Y,112500,0,1725,Y,53.6,1,1,0,,A,0,0,5,0,SATURDAY,14,681,0
,440290,F,N,270000,0,2629,Y,23.4,1,1,0,,A,0,0,,0,MONDAY,13,390,0
,440291,F,N,157500,0,1832,Y,57.4,1,0,0,,B,0,0,5,11,THURSDAY,12,468,0
,440294,M,N,216000,0,1887,Y,50.2,1,1,0,2,A,0,0,0,1,MONDAY,16,705,0
,440295,F,Y,180000,0,1654,Y,49.5,1,1,0,2,B,0,1,7,0,THURSDAY,10,654,0
,440298,F,N,90000,0,1769,Y,51.9,1,1,0,2,A,0,0,2,3,SUNDAY,12,624,0
,440299,F,N,75000,0,1274,Y,34.2,1,1,0,,B,0,0,1,4,WEDNESDAY,9,272,1
,440305,F,N,135000,1,1398,N,35.1,1,1,0,2,A,0,0,3,0,THURSDAY,16,659,0
,440308,M,Y,90000,0,1365,Y,49.9,1,1,0,,A,0,1,0,2,THURSDAY,13,689,0
,440314,M,Y,315000,0,1456,Y,40.6,1,1,0,,A,0,0,1,0,WEDNESDAY,10,589,0
,440321,M,N,225000,1,1682,Y,33.6,1,1,0,,B,0,0,2,2,THURSDAY,9,595,0
,440323,F,N,45000,0,1549,Y,40.7,1,1,1,,A,0,0,5,0,MONDAY,11,367,1
,440326,F,Y,112500,0,1591,Y,36.6,1,1,0,,A,0,0,0,0,SATURDAY,5,527,0
,440333,M,N,360000,0,1769,Y,54.5,1,1,0,,A,0,1,,0,THURSDAY,14,585,0
,440346,F,Y,112500,2,1749,Y,42.1,1,1,0,4,A,0,0,3,0,SUNDAY,15,727,0
,440351,F,N,157500,1,1682,Y,43.7,1,1,0,3,A,0,0,,1,FRIDAY,14,566,0
,440355,F,Y,157500,0,1771,Y,55.7,1,1,1,,A,0,1,2,5,MONDAY,8,655,0
,440361,M,N,315000,1,1897,Y,54.7,1,1,0,3,A,1,1,,0,WEDNESDAY,9,696,0
,440363,F,Y,175500,0,1694,Y,51,1,1,0,2,A,0,0,,1,THURSDAY,10,362,1
,440364,M,N,120000,0,1594,Y,33.8,1,1,0,2,B,0,0,0,7,SUNDAY,6,660,0
,440372,F,N,288000,1,1479,Y,49.7,1,0,0,3,A,0,0,5,0,SATURDAY,13,573,0
,440375,M,Y,150000,0,1709,N,54.1,1,1,1,,A,0,0,2,10,WEDNESDAY,18,736,0
,440380,M,Y,225000,0,1296,Y,58.5,1,1,0,,B,0,0,7,0,SUNDAY,10,451,0
,440390,F,N,270000,3,2995,Y,32.3,1,1,0,5,A,0,1,,1,MONDAY,14,507,0
,440392,F,N,157500,0,1876,N,38.8,1,1,1,,A,0,0,0,3,SATURDAY,16,569,0
,440398,M,Y,300150,0,2055,N,43.6,1,1,0,,A,0,1,0,1,TUESDAY,6,590,0
,440405,F,N,67500,1,1297.47,Y,43.6,1,1,0,3,A,0,0,0,0,WEDNESDAY,10,685,0
,440406,F,N,225000,0,2093,Y,47.6,1,1,0,2,A,0,0,1,0,WEDNESDAY,16,683,0
,440407,F,N,112500,0,1453,N,63.6,1,0,0,,A,0,0,7,0,SUNDAY,15,628,0
,440409,F,N,112500,0,1910,Y,50.6,1,1,0,,A,0,0,2,0,TUESDAY,10,659,0
,440415,F,N,202500,0,1763,Y,58.2,1,0,0,2,A,0,0,3,0,THURSDAY,12,717,0
,440416,M,N,90000,0,1851,Y,49.8,1,1,0,,A,0,0,,0,MONDAY,9,679,0
,440421,M,N,202500,0,1259,Y,26.7,1,1,0,2,A,0,0,1,0,MONDAY,19,678,0
,440422,F,N,157500,0,1660,N,56,1,0,0,1,A,0,0,6,1,THURSDAY,11,430,0
,440431,M,Y,180000,0,2194,N,23.5,1,1,1,1,A,0,0,8,0,MONDAY,14,623,0
,440432,F,N,90000,0,1095,N,66.1,1,0,0,,B,0,0,0,0,THURSDAY,11,493,0
